Round,Global Accuracy,Global Precision,Global Recall,Global F1-Score,Global Prediction Time,Total Training Times,Total Prediction Times,CPU Usage,Memory Usage,Accuracy Variance,Precision Variance,Recall Variance,F1 Variance,Accuracy Std,Precision Std,Recall Std,F1 Std
1,0.7306153055280447,0.07677113779354841,0.29489792734384535,0.07892498497472203,8.177783012390137,46.56620478630066,17.526851177215576,5.339999999999999,0.20000000000000143,0.00025792396093237357,0.0381446573541487,0.0012013053609314284,0.018626427034111666,0.016060011236994,0.19530657273668162,0.03465985229240639,0.13647866878787931
2,0.7570283114910126,0.3277789853513241,0.4909641817212105,0.31529778446540246,8.148161172866821,47.39399766921997,18.111892461776733,3.6,0.08000000000000114,6.9290237859434e-05,0.03724599184269777,0.0023211731654456,0.01965444800532155,0.008324075796112983,0.19299220668902092,0.048178555036920735,0.14019432230058945
3,0.7790553629398346,0.469774654507637,0.5951072186231613,0.44087489177514866,8.242403364181518,46.931636571884155,17.22811484336853,3.7600000000000002,0.1,6.925540338556857e-05,0.037309910943380944,0.003018593192780941,0.019314861045219574,0.008321983140187714,0.19315773591389226,0.054941725425954185,0.13897791567446813
4,0.8026863396167755,0.5708243370056152,0.6091220825910568,0.5160522872156635,8.394538927078248,47.15667724609375,17.85418963432312,3.7600000000000002,0.019999999999998862,5.845802538800626e-05,0.04015270339044633,0.0027183048603527027,0.0214152017025597,0.007645784811777419,0.20038139482109193,0.052137365299300485,0.1463393375089545
5,0.8078354179859162,0.579088008403778,0.6234358072280883,0.5302249588044752,8.448847150802612,47.07886981964111,17.902462005615234,3.7399999999999998,0.020000000000000285,7.398496175937906e-05,0.0401319700094669,0.0021675452550132942,0.021504041869576378,0.008601451142649074,0.200329653345347,0.046556903408767364,0.14664256499930836
