Round,Global Accuracy,Global Precision,Global Recall,Global F1-Score,Global Prediction Time,Total Training Times,Total Prediction Times,CPU Usage,Memory Usage,Accuracy Variance,Precision Variance,Recall Variance,F1 Variance,Accuracy Std,Precision Std,Recall Std,F1 Std
1,0.9737382121588543,0.9704642673728724,0.9797626740998177,0.9750913039910754,1209.0066258907318,364.4479556083679,160.7128987312317,1.98,-0.19999999999999857,2.395641997452458e-06,3.2899153105745426e-05,5.773316462921229e-05,1.7805124030812717e-06,0.001547786160117882,0.005735778334781202,0.007598234309970461,0.0013343584237682437
2,0.973882013479741,0.9700231898850358,0.9805192096474881,0.9752429598185222,2336.6117401123047,381.9159758090973,170.91524624824524,2.1600000000000006,-0.4599999999999994,0.0003650269986289345,5.932446622892939e-05,0.0013373874446054401,0.00027589663914954663,0.01910567974789001,0.007702237741652057,0.03657030823776907,0.016610136638497187
3,0.9741288246711275,0.9697378715267249,0.9813117810974002,0.9754904972567845,3518.374915599823,369.761479139328,163.42033290863037,1.9800000000000004,-0.4599999999999994,1.969377633770364e-06,2.0403904520094326e-06,1.4072754455298764e-05,1.589489694825074e-06,0.0014033451584590172,0.0014284223647120038,0.0037513670115437605,0.001260749655889334
4,0.9742800738691917,0.969981342361302,0.9813471618014195,0.9756311510808706,4710.875913858414,389.93125438690186,171.3017213344574,2.2399999999999993,-0.5400000000000006,2.1537405609706184e-06,2.9503009406539602e-06,3.876014066861444e-06,1.9266001256663916e-06,0.0014675627962614133,0.0017176440087090107,0.001968759524894151,0.001388020218032285
5,0.9742016992847402,0.9700282581578238,0.9811425215565676,0.9755537353110686,5892.6550080776215,366.5833361148834,160.71417260169983,1.78,-0.5800000000000012,5.486061701276412e-07,6.395320033050211e-06,1.278486051745631e-05,4.185229646270674e-07,0.00074067953267769,0.0025288969992963753,0.0035755923309930496,0.0006469335086599453
