Round,Global Accuracy,Global Precision,Global Recall,Global F1-Score,Global Prediction Time,Total Training Times,Total Prediction Times,CPU Usage,Memory Usage,Accuracy Variance,Precision Variance,Recall Variance,F1 Variance,Accuracy Std,Precision Std,Recall Std,F1 Std
1,0.9710854887962341,0.9731218218803406,0.9718042016029358,0.9724625653704994,161.02212071418762,372.54886651039124,164.21138072013855,3.3600000000000003,-0.25999999999999945,2.2361301205364725e-07,5.4984217362630256e-06,2.8277778469032456e-06,2.240979654966586e-07,0.00047287737528205686,0.002344871368809604,0.0016815997879707422,0.0004733898662800658
2,0.9739866256713867,0.973472535610199,0.9768645763397217,0.9751656061937986,166.064523935318,378.5315761566162,167.185688495636,1.92,-0.3400000000000034,8.599842402645663e-08,2.177539861406785e-05,2.3276092334754136e-05,4.2240743919516046e-08,0.00029325487894740407,0.004666411749306725,0.004824530270892093,0.00020552553106491673
3,0.9755332469940186,0.9808396100997925,0.9727523326873779,0.9767792319072399,160.5302436351776,370.96826934814453,162.87744402885437,1.7600000000000002,-0.3,4.6639011372917596e-08,1.601723766810892e-05,1.2577281251537896e-05,7.374124356758164e-08,0.00021596067089384028,0.004002154128479926,0.003546446284879823,0.00027155338990257817
4,0.9748478531837463,0.9856367707252502,0.9670552015304565,0.976257576149757,167.96763443946838,379.4730887413025,170.58976364135742,1.9600000000000002,-0.33999999999999914,6.199668462159025e-08,2.0062260435906865e-05,2.095048706024727e-05,1.943693497189616e-08,0.0002489913344307192,0.004479091474384829,0.004577170202237107,0.0001394164085461111
5,0.9755619168281555,0.9747290015220642,0.9786062240600586,0.9766637647444627,161.39330387115479,372.6958656311035,165.37889575958252,1.8399999999999999,-0.22000000000000028,3.166071365967582e-08,1.7308865991196854e-05,1.6730183096456132e-05,2.3953816334675236e-08,0.00017793457690869368,0.004160392528499787,0.004090254649341057,0.0001547702049319417
